# "DislocationAnalysis.counts.BCC" "DislocationAnalysis.counts.CubicDiamond" "DislocationAnalysis.counts.FCC" "DislocationAnalysis.counts.HCP" "DislocationAnalysis.counts.HexagonalDiamond" "DislocationAnalysis.counts.OTHER" "DislocationAnalysis.length.other" "DislocationAnalysis.total_line_length" "Timestep" "WignerSeitz.interstitial_count" "WignerSeitz.vacancy_count" "DislocationAnalysis.length.1/2<110>" "DislocationAnalysis.length.1/3<111>" "DislocationAnalysis.length.1/6<110>" "DislocationAnalysis.length.1/6<112>" "Frame" "SourceFrame"
0 64000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 64000 0 0 0 0 0 0 50 0 0 0 0 0 0 1 1 
0 64000 0 0 0 0 0 0 100 0 0 0 0 0 0 2 2 
0 64000 0 0 0 0 0 0 150 0 0 0 0 0 0 3 3 
0 64000 0 0 0 0 0 0 200 0 0 0 0 0 0 4 4 
0 64000 0 0 0 0 0 0 250 0 0 0 0 0 0 5 5 
0 64000 0 0 0 0 0 0 300 0 0 0 0 0 0 6 6 
0 64000 0 0 0 0 0 0 350 0 0 0 0 0 0 7 7 
0 64000 0 0 0 0 0 0 400 0 0 0 0 0 0 8 8 
0 64000 0 0 0 0 0 0 450 0 0 0 0 0 0 9 9 
0 64000 0 0 0 0 0 0 500 0 0 0 0 0 0 10 10 
0 64000 0 0 0 0 0 0 550 0 0 0 0 0 0 11 11 
0 64000 0 0 0 0 0 0 600 0 0 0 0 0 0 12 12 
0 64000 0 0 0 0 0 0 650 0 0 0 0 0 0 13 13 
0 64000 0 0 0 0 0 0 700 0 0 0 0 0 0 14 14 
0 64000 0 0 0 0 0 0 750 0 0 0 0 0 0 15 15 
0 64000 0 0 0 0 0 0 800 0 0 0 0 0 0 16 16 
0 64000 0 0 0 0 0 0 850 0 0 0 0 0 0 17 17 
0 64000 0 0 0 0 0 0 900 0 0 0 0 0 0 18 18 
0 64000 0 0 0 0 0 0 950 0 0 0 0 0 0 19 19 
0 64000 0 0 0 0 0 0 1000 0 0 0 0 0 0 20 20 
0 64000 0 0 0 0 0 0 1050 0 0 0 0 0 0 21 21 
0 64000 0 0 0 0 0 0 1100 0 0 0 0 0 0 22 22 
0 64000 0 0 0 0 0 0 1150 0 0 0 0 0 0 23 23 
0 64000 0 0 0 0 0 0 1200 0 0 0 0 0 0 24 24 
0 64000 0 0 0 0 0 0 1250 0 0 0 0 0 0 25 25 
0 64000 0 0 0 0 0 0 1300 0 0 0 0 0 0 26 26 
0 64000 0 0 0 0 0 0 1350 0 0 0 0 0 0 27 27 
0 64000 0 0 0 0 0 0 1400 0 0 0 0 0 0 28 28 
0 64000 0 0 0 0 0 0 1450 0 0 0 0 0 0 29 29 
0 64000 0 0 0 0 0 0 1500 0 0 0 0 0 0 30 30 
0 64000 0 0 0 0 0 0 1550 0 0 0 0 0 0 31 31 
0 64000 0 0 0 0 0 0 1600 0 0 0 0 0 0 32 32 
0 64000 0 0 0 0 0 0 1650 0 0 0 0 0 0 33 33 
0 64000 0 0 0 0 0 0 1700 0 0 0 0 0 0 34 34 
0 64000 0 0 0 0 0 0 1750 0 0 0 0 0 0 35 35 
0 64000 0 0 0 0 0 0 1800 0 0 0 0 0 0 36 36 
0 64000 0 0 0 0 0 0 1850 0 0 0 0 0 0 37 37 
0 64000 0 0 0 0 0 0 1900 0 0 0 0 0 0 38 38 
0 64000 0 0 0 0 0 0 1950 0 0 0 0 0 0 39 39 
0 64000 0 0 0 0 0 0 2000 0 0 0 0 0 0 40 40 
0 64000 0 0 0 0 0 0 2050 0 0 0 0 0 0 41 41 
0 64000 0 0 0 0 0 0 2100 0 0 0 0 0 0 42 42 
0 64000 0 0 0 0 0 0 2150 0 0 0 0 0 0 43 43 
0 64000 0 0 0 0 0 0 2200 0 0 0 0 0 0 44 44 
0 64000 0 0 0 0 0 0 2250 0 0 0 0 0 0 45 45 
0 64000 0 0 0 0 0 0 2300 0 0 0 0 0 0 46 46 
0 64000 0 0 0 0 0 0 2350 0 0 0 0 0 0 47 47 
0 64000 0 0 0 0 0 0 2400 0 0 0 0 0 0 48 48 
0 64000 0 0 0 0 0 0 2450 0 0 0 0 0 0 49 49 
0 64000 0 0 0 0 0 0 2500 0 0 0 0 0 0 50 50 
0 64000 0 0 0 0 0 0 2550 0 0 0 0 0 0 51 51 
0 64000 0 0 0 0 0 0 2600 0 0 0 0 0 0 52 52 
0 64000 0 0 0 0 0 0 2650 0 0 0 0 0 0 53 53 
0 64000 0 0 0 0 0 0 2700 0 0 0 0 0 0 54 54 
0 64000 0 0 0 0 0 0 2750 0 0 0 0 0 0 55 55 
0 64000 0 0 0 0 0 0 2800 0 0 0 0 0 0 56 56 
0 64000 0 0 0 0 0 0 2850 0 0 0 0 0 0 57 57 
0 64000 0 0 0 0 0 0 2900 0 0 0 0 0 0 58 58 
0 64000 0 0 0 0 0 0 2950 0 0 0 0 0 0 59 59 
0 64000 0 0 0 0 0 0 3000 0 0 0 0 0 0 60 60 
0 64000 0 0 0 0 0 0 3050 0 0 0 0 0 0 61 61 
0 64000 0 0 0 0 0 0 3100 0 0 0 0 0 0 62 62 
0 64000 0 0 0 0 0 0 3150 0 0 0 0 0 0 63 63 
0 64000 0 0 0 0 0 0 3200 0 0 0 0 0 0 64 64 
0 64000 0 0 0 0 0 0 3250 0 0 0 0 0 0 65 65 
0 64000 0 0 0 0 0 0 3300 0 0 0 0 0 0 66 66 
0 64000 0 0 0 0 0 0 3350 0 0 0 0 0 0 67 67 
0 64000 0 0 0 0 0 0 3400 0 0 0 0 0 0 68 68 
0 64000 0 0 0 0 0 0 3450 0 0 0 0 0 0 69 69 
0 64000 0 0 0 0 0 0 3500 0 0 0 0 0 0 70 70 
0 64000 0 0 0 0 0 0 3550 0 0 0 0 0 0 71 71 
0 64000 0 0 0 0 0 0 3600 0 0 0 0 0 0 72 72 
0 64000 0 0 0 0 0 0 3650 0 0 0 0 0 0 73 73 
0 64000 0 0 0 0 0 0 3700 0 0 0 0 0 0 74 74 
0 64000 0 0 0 0 0 0 3750 0 0 0 0 0 0 75 75 
0 64000 0 0 0 0 0 0 3800 0 0 0 0 0 0 76 76 
0 64000 0 0 0 0 0 0 3850 0 0 0 0 0 0 77 77 
0 64000 0 0 0 0 0 0 3900 0 0 0 0 0 0 78 78 
0 64000 0 0 0 0 0 0 3950 0 0 0 0 0 0 79 79 
0 64000 0 0 0 0 0 0 4000 0 0 0 0 0 0 80 80 
0 64000 0 0 0 0 0 0 4050 0 0 0 0 0 0 81 81 
0 64000 0 0 0 0 0 0 4100 0 0 0 0 0 0 82 82 
0 64000 0 0 0 0 0 0 4150 0 0 0 0 0 0 83 83 
0 64000 0 0 0 0 0 0 4200 0 0 0 0 0 0 84 84 
0 64000 0 0 0 0 0 0 4250 0 0 0 0 0 0 85 85 
0 64000 0 0 0 0 0 0 4300 0 0 0 0 0 0 86 86 
0 64000 0 0 0 0 0 0 4350 0 0 0 0 0 0 87 87 
0 64000 0 0 0 0 0 0 4400 0 0 0 0 0 0 88 88 
0 64000 0 0 0 0 0 0 4450 0 0 0 0 0 0 89 89 
0 64000 0 0 0 0 0 0 4500 0 0 0 0 0 0 90 90 
0 64000 0 0 0 0 0 0 4550 0 0 0 0 0 0 91 91 
0 64000 0 0 0 0 0 0 4600 0 0 0 0 0 0 92 92 
0 64000 0 0 0 0 0 0 4650 0 0 0 0 0 0 93 93 
0 64000 0 0 0 0 0 0 4700 0 0 0 0 0 0 94 94 
0 64000 0 0 0 0 0 0 4750 0 0 0 0 0 0 95 95 
0 64000 0 0 0 0 0 0 4800 0 0 0 0 0 0 96 96 
0 64000 0 0 0 0 0 0 4850 0 0 0 0 0 0 97 97 
0 64000 0 0 0 0 0 0 4900 0 0 0 0 0 0 98 98 
0 64000 0 0 0 0 0 0 4950 0 0 0 0 0 0 99 99 
0 64000 0 0 0 0 0 0 5000 0 0 0 0 0 0 100 100 
0 64000 0 0 0 0 0 0 5050 0 0 0 0 0 0 101 101 
0 64000 0 0 0 0 0 0 5100 0 0 0 0 0 0 102 102 
0 64000 0 0 0 0 0 0 5150 0 0 0 0 0 0 103 103 
0 64000 0 0 0 0 0 0 5200 0 0 0 0 0 0 104 104 
0 64000 0 0 0 0 0 0 5250 0 0 0 0 0 0 105 105 
0 64000 0 0 0 0 0 0 5300 0 0 0 0 0 0 106 106 
0 64000 0 0 0 0 0 0 5350 0 0 0 0 0 0 107 107 
0 64000 0 0 0 0 0 0 5400 0 0 0 0 0 0 108 108 
0 64000 0 0 0 0 0 0 5450 0 0 0 0 0 0 109 109 
0 64000 0 0 0 0 0 0 5500 0 0 0 0 0 0 110 110 
0 64000 0 0 0 0 0 0 5550 0 0 0 0 0 0 111 111 
0 64000 0 0 0 0 0 0 5600 0 0 0 0 0 0 112 112 
0 64000 0 0 0 0 0 0 5650 0 0 0 0 0 0 113 113 
0 64000 0 0 0 0 0 0 5700 0 0 0 0 0 0 114 114 
